,instance,hidden_dim,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap,min_leaf
0,CTG_width,80,8,0.001,37,0.5098039215686274,0.5705882352941176,0.6257309941520468,13919.827091693878,1.0,2.0
0,CTG_width,80,8,0.001,42,0.40588235294117647,0.3941176470588235,0.38011695906432746,13919.220982074738,1.0,2.0
0,CTG_width,80,8,0.001,53,0.5411764705882353,0.5647058823529412,0.5380116959064327,13919.554014444351,1.0,2.0
0,CTG_width,80,8,0.01,37,0.5607843137254902,0.5764705882352941,0.6491228070175439,13918.652190446854,1.0,2.0
0,CTG_width,80,8,0.01,42,0.40588235294117647,0.3941176470588235,0.38011695906432746,13906.004156827927,1.0,2.0
0,CTG_width,80,8,0.01,53,0.45294117647058824,0.47058823529411764,0.47953216374269003,13907.252934217453,1.0,2.0
0,CTG_width,80,8,0.1,37,0.5509803921568628,0.5941176470588235,0.543859649122807,13919.319118976593,0.9906716417910448,2.0
0,CTG_width,80,8,0.1,42,0.5411764705882353,0.5705882352941176,0.5555555555555556,13919.429924249649,0.9248366013071863,2.0
0,CTG_width,80,8,0.1,53,0.5411764705882353,0.5647058823529412,0.5380116959064327,13919.25253367424,0.989051094890511,2.0
0,CTG_width,100,4,0.001,37,0.8607843137254902,0.7529411764705882,0.7894736842105263,13804.757977962494,0.9923609780138543,2.0
0,CTG_width,100,4,0.001,42,0.8294117647058824,0.7588235294117647,0.8011695906432749,13804.533542871475,0.9953415694715019,2.0
0,CTG_width,100,4,0.001,53,0.9019607843137255,0.8411764705882353,0.7777777777777778,13804.737181186676,0.9923164099478824,2.0
0,CTG_width,100,4,0.01,37,0.8568627450980392,0.7294117647058823,0.8304093567251462,13803.781757831573,0.9566515079205228,2.0
0,CTG_width,100,4,0.01,42,0.8509803921568627,0.7529411764705882,0.8245614035087719,13804.942506074905,0.9510481211305093,2.0
0,CTG_width,100,4,0.01,53,0.8529411764705882,0.7705882352941177,0.8011695906432749,13803.934391260147,0.963262010496568,2.0
0,CTG_width,100,4,0.1,37,0.7843137254901961,0.711764705882353,0.7602339181286549,13803.958716154099,0.7563329312424635,2.0
0,CTG_width,100,4,0.1,42,0.7764705882352941,0.7058823529411765,0.7660818713450293,13822.764432430267,0.7981171548117155,2.0
0,CTG_width,100,4,0.1,53,0.8352941176470589,0.788235294117647,0.7719298245614035,13803.61106300354,0.7847058823529393,2.0
0,CTG_width,100,6,0.001,37,0.5333333333333333,0.49411764705882355,0.5380116959064327,13822.529838085175,0.999223945859793,2.0
0,CTG_width,100,6,0.001,42,0.6333333333333333,0.6,0.6023391812865497,13824.691273927689,0.9989774130138764,2.0
0,CTG_width,100,6,0.001,53,0.6941176470588235,0.5823529411764706,0.5847953216374269,13826.271371603012,0.998909459802181,2.0
0,CTG_width,100,6,0.01,37,0.7764705882352941,0.7176470588235294,0.7719298245614035,13822.503184318542,0.9853566367501181,2.0
0,CTG_width,100,6,0.01,42,0.592156862745098,0.5764705882352941,0.5730994152046783,13821.790604114532,0.9908902105163787,2.0
0,CTG_width,100,6,0.01,53,0.8490196078431372,0.7529411764705882,0.7719298245614035,13821.740874052048,0.9838102409638553,2.0
0,CTG_width,100,6,0.1,37,0.5529411764705883,0.5352941176470588,0.5730994152046783,13828.927002191544,0.9245742092457421,2.0
0,CTG_width,100,6,0.1,42,0.7588235294117647,0.7529411764705882,0.7660818713450293,13827.079812765121,0.8933112216694307,2.0
0,CTG_width,100,6,0.1,53,0.6490196078431373,0.5882352941176471,0.6023391812865497,13823.869028568268,0.9194001874414238,2.0
0,CTG_width,100,8,0.001,37,0.36470588235294116,0.34705882352941175,0.3742690058479532,13944.537415266037,1.0,2.0
0,CTG_width,100,8,0.001,42,0.3784313725490196,0.3352941176470588,0.34502923976608185,13944.314792394638,1.0,2.0
0,CTG_width,100,8,0.001,53,0.33725490196078434,0.38823529411764707,0.4152046783625731,13894.05191040039,1.0,2.0
0,CTG_width,100,8,0.01,37,0.36470588235294116,0.34705882352941175,0.3742690058479532,13902.445894241333,1.0,2.0
0,CTG_width,100,8,0.01,42,0.3784313725490196,0.3352941176470588,0.34502923976608185,13902.586503744125,1.0,2.0
0,CTG_width,100,8,0.01,53,0.5705882352941176,0.5823529411764706,0.631578947368421,13901.04446029663,1.0,2.0
0,CTG_width,100,8,0.1,37,0.36470588235294116,0.34705882352941175,0.3742690058479532,13902.37861776352,0.9938271604938271,2.0
0,CTG_width,100,8,0.1,42,0.47843137254901963,0.4235294117647059,0.5029239766081871,13902.885393857956,0.9911359159553513,2.0
0,CTG_width,100,8,0.1,53,0.5666666666666667,0.5294117647058824,0.5555555555555556,13902.00741648674,0.9904622157006602,2.0
0,CTG_width,120,4,0.001,37,0.6137254901960785,0.6352941176470588,0.5964912280701754,13804.226870298386,0.9987018653395969,2.0
0,CTG_width,120,4,0.001,42,0.7627450980392156,0.6823529411764706,0.695906432748538,13803.433623075485,0.9966488372851505,2.0
0,CTG_width,120,4,0.001,53,0.8352941176470589,0.711764705882353,0.7309941520467836,13803.85096859932,0.9959298690186335,2.0
0,CTG_width,120,4,0.01,37,0.8156862745098039,0.7823529411764706,0.7368421052631579,13803.911479234695,0.9678410191444693,2.0
0,CTG_width,120,4,0.01,42,0.8294117647058824,0.7294117647058823,0.7076023391812866,13803.661098003387,0.9607861845243774,2.0
0,CTG_width,120,4,0.01,53,0.7941176470588235,0.7,0.7894736842105263,13803.756780862808,0.964928511354079,2.0
0,CTG_width,120,4,0.1,37,0.7666666666666667,0.7647058823529411,0.695906432748538,13803.903520584106,0.7912328767123231,2.0
0,CTG_width,120,4,0.1,42,0.7490196078431373,0.6764705882352942,0.6666666666666666,13803.49487876892,0.7908396946564795,2.0
0,CTG_width,120,4,0.1,53,0.7764705882352941,0.711764705882353,0.7017543859649122,13803.586653232574,0.7727520435967314,2.0
0,CTG_width,120,6,0.001,37,0.5607843137254902,0.49411764705882355,0.4853801169590643,13820.908156394958,0.9994285241727069,2.0
0,CTG_width,120,6,0.001,42,0.5764705882352941,0.5058823529411764,0.43859649122807015,13820.463255405426,0.9993642771058295,2.0
0,CTG_width,120,6,0.001,53,0.49411764705882355,0.40588235294117647,0.4269005847953216,13821.397647380829,0.9994370404536631,2.0
0,CTG_width,120,6,0.01,37,0.6333333333333333,0.5823529411764706,0.6198830409356725,13822.364201784134,0.9935585311422195,2.0
0,CTG_width,120,6,0.01,42,0.5686274509803921,0.5176470588235295,0.4444444444444444,13820.15023446083,0.993997020418894,2.0
