instance,depth,seed,train_acc,val_acc,test_acc,train_time
spect,5,42,0.9398496240601504,0.6865671641791045,0.6865671641791045,0.0004868507385253906
spect,5,53,0.8646616541353384,0.746268656716418,0.8059701492537313,0.0005457401275634766
tic-tac-toe,2,37,0.7202505219206681,0.694560669456067,0.675,0.0005578994750976562
tic-tac-toe,2,42,0.6910229645093946,0.6778242677824268,0.7375,0.0007419586181640625
tic-tac-toe,2,53,0.7035490605427975,0.698744769874477,0.7166666666666667,0.001361846923828125
tic-tac-toe,3,37,0.7286012526096033,0.702928870292887,0.6791666666666667,0.0008478164672851562
tic-tac-toe,3,42,0.7411273486430062,0.7573221757322176,0.775,0.0007579326629638672
tic-tac-toe,3,53,0.7599164926931107,0.7280334728033473,0.6833333333333333,0.000986337661743164
tic-tac-toe,4,37,0.8037578288100209,0.7573221757322176,0.7916666666666666,0.0009238719940185547
tic-tac-toe,4,42,0.8162839248434238,0.7824267782426778,0.8458333333333333,0.0010709762573242188
tic-tac-toe,4,53,0.81419624217119,0.8075313807531381,0.7625,0.0011031627655029297
tic-tac-toe,5,37,0.8643006263048016,0.7907949790794979,0.8,0.0009219646453857422
tic-tac-toe,5,42,0.8559498956158664,0.8451882845188284,0.8416666666666667,0.0009148120880126953
tic-tac-toe,5,53,0.8643006263048016,0.8117154811715481,0.7875,0.0010628700256347656
monks-1,2,37,0.7733812949640287,0.697841726618705,0.7410071942446043,0.0007767677307128906
monks-1,2,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.00039386749267578125
monks-1,2,53,0.7769784172661871,0.7338129496402878,0.697841726618705,0.0004010200500488281
monks-1,3,37,0.8633093525179856,0.7841726618705036,0.8273381294964028,0.0004990100860595703
monks-1,3,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.0006198883056640625
monks-1,3,53,0.8633093525179856,0.8273381294964028,0.7841726618705036,0.0008211135864257812
monks-1,4,37,0.8633093525179856,0.7841726618705036,0.8273381294964028,0.00041604042053222656
monks-1,4,42,0.7553956834532374,0.6546762589928058,0.7194244604316546,0.0012919902801513672
